memory_address,data_category,phase,fc,size_in_bytes,data_type,divide_by
0,system,,4,2,UINT16,1
1,system,,4,2,INT16,10
2,system,,4,2,UINT16,100
3,system,,4,2,UINT16,1
4,system,,4,2,UINT16,10
5,system,,4,6,,
8,status,,4,2,UINT16,1
9,status,,4,2,UINT16,1
10,status,,4,2,UINT16,1
11,status,,4,2,UINT16,1
12,status,,4,2,UINT16,1
13,status,,4,2,UINT16,1
14,status,,4,2,UINT16,1
15,status,,4,2,UINT16,1
16,status,,4,2,UINT16,1
17,status,,4,2,UINT16,1
18,status,,4,2,UINT16,1
19,status,,4,2,UINT16,1
20,status,,4,2,UINT16,1
21,status,,4,2,UINT16,1
22,status,,4,2,UINT16,1
23,status,,4,2,UINT16,1
24,status,,4,2,UINT16,1
25,status,,4,2,UINT16,1
26,status,,4,2,UINT16,1
27,status,,4,2,UINT16,1
28,status,,4,2,UINT16,1
29,status,,4,2,UINT16,1
30,status,,4,2,UINT16,1
31,status,,4,2,UINT16,1
32,status,,4,2,UINT16,1
33,status,,4,2,UINT16,1
34,status,,4,2,UINT16,1
35,status,,4,2,UINT16,1
36,status,,4,2,UINT16,1
37,status,,4,2,UINT16,1
38,status,,4,2,UINT16,1
39,status,,4,2,UINT16,1
40,status,,4,2,UINT16,1
41,status,,4,2,UINT16,1
42,status,,4,2,UINT16,1
43,status,,4,2,UINT16,1
44,status,,4,2,UINT16,1
45,status,,4,2,UINT16,1
46,status,,4,2,UINT16,1
47,status,,4,2,UINT16,1
48,status,,4,2,UINT16,1
49,status,,4,2,UINT16,1
50,status,,4,2,UINT16,1
51,status,,4,2,UINT16,1
52,status,,4,2,UINT16,1
53,status,,4,2,UINT16,1
54,status,,4,2,UINT16,1
55,status,,4,2,UINT16,1
56,status,,4,2,UINT16,1
57,status,,4,2,UINT16,1
58,status,,4,2,UINT16,1
59,status,,4,2,UINT16,1
60,status,,4,2,UINT16,1
61,status,,4,2,UINT16,1
62,status,,4,2,UINT16,1
63,status,,4,2,UINT16,1
64,voltage,total,4,4,UINT32,100
66,voltage,total,4,4,UINT32,100
68,voltage,total,4,2,UINT16,100
69,voltage,total,4,2,UINT16,100
70,voltage,1,4,4,UINT32,100
72,voltage,1,4,4,UINT32,100
74,voltage,1,4,2,UINT16,100
75,voltage,1,4,2,UINT16,100
76,voltage,2,4,4,UINT32,100
78,voltage,2,4,4,UINT32,100
80,voltage,2,4,2,UINT16,100
81,voltage,2,4,2,UINT16,100
82,voltage,3,4,4,UINT32,100
84,voltage,3,4,4,UINT32,100
86,voltage,3,4,2,UINT16,100
87,voltage,3,4,2,UINT16,100
88,voltage,,4,8,,
92,sag,,4,2,UINT16,
93,sag,,4,2,UINT16,
94,sag,,4,2,UINT16,
95,sag,,4,2,UINT16,
96,sag,,4,2,UINT16,
97,sag,,4,2,UINT16,
98,swell,,4,2,UINT16,
99,swell,,4,2,UINT16,
100,swell,,4,2,UINT16,
101,swell,,4,2,UINT16,
102,swell,,4,2,UINT16,
103,swell,,4,2,UINT16,
104,,,4,32,,
120,#1,total,4,2,UINT16,1
121,#1,total,4,2,UINT16,
122,#1,total,4,4,UINT32,100
124,#1,total,4,4,INT32,1
126,#1,total,4,4,INT32,1
128,#1,total,4,4,UINT32,1
130,#1,total,4,2,INT16,100
131,#1,total,4,2,,
132,#1,total,4,2,UINT16,100
133,#1,total,4,2,UINT16,100
134,#1,total,4,4,UINT16,100
136,#1,1,4,4,UINT32,100
138,#1,1,4,4,INT32,1
140,#1,1,4,2,UINT16,100
141,#1,1,4,2,INT16,100
142,#1,1,4,2,UINT16,100
143,#1,1,4,2,UINT16,1
144,#1,2,4,4,UINT32,100
146,#1,2,4,4,INT32,1
148,#1,2,4,2,UINT16,100
149,#1,2,4,2,INT16,100
150,#1,2,4,2,UINT16,100
151,#1,2,4,2,UINT16,1
152,#1,3,4,4,UINT32,100
154,#1,3,4,4,INT32,1
156,#1,3,4,2,UINT16,100
157,#1,3,4,2,INT16,100
158,#1,3,4,2,UINT16,100
159,#1,3,4,2,UINT16,1
160,#2,total,4,2,UINT16,1
161,#2,total,4,2,UINT16,
162,#2,total,4,4,UINT32,100
164,#2,total,4,4,INT32,1
166,#2,total,4,4,INT32,1
168,#2,total,4,4,UINT32,1
170,#2,total,4,2,INT16,100
171,#2,total,4,2,,
172,#2,total,4,2,UINT16,100
173,#2,total,4,2,UINT16,100
174,#2,total,4,4,UINT16,100
176,#2,1,4,4,UINT32,100
178,#2,1,4,4,INT32,1
180,#2,1,4,2,UINT16,100
181,#2,1,4,2,INT16,100
182,#2,1,4,2,UINT16,100
183,#2,1,4,2,UINT16,1
184,#2,2,4,4,UINT32,100
186,#2,2,4,4,INT32,1
188,#2,2,4,2,UINT16,100
189,#2,2,4,2,INT16,100
190,#2,2,4,2,UINT16,100
191,#2,2,4,2,UINT16,1
192,#2,3,4,4,UINT32,100
194,#2,3,4,4,INT32,1
196,#2,3,4,2,UINT16,100
197,#2,3,4,2,INT16,100
198,#2,3,4,2,UINT16,100
199,#2,3,4,2,UINT16,1
200,#3,total,4,2,UINT16,1
201,#3,total,4,2,UINT16,
202,#3,total,4,4,UINT32,100
204,#3,total,4,4,INT32,1
206,#3,total,4,4,INT32,1
208,#3,total,4,4,UINT32,1
210,#3,total,4,2,INT16,100
211,#3,total,4,2,,
212,#3,total,4,2,UINT16,100
213,#3,total,4,2,UINT16,100
214,#3,total,4,4,UINT16,100
216,#3,1,4,4,UINT32,100
218,#3,1,4,4,INT32,1
220,#3,1,4,2,UINT16,100
221,#3,1,4,2,INT16,100
222,#3,1,4,2,UINT16,100
223,#3,1,4,2,UINT16,1
224,#3,2,4,4,UINT32,100
226,#3,2,4,4,INT32,1
228,#3,2,4,2,UINT16,100
229,#3,2,4,2,INT16,100
230,#3,2,4,2,UINT16,100
231,#3,2,4,2,UINT16,1
232,#3,3,4,4,UINT32,100
234,#3,3,4,4,INT32,1
236,#3,3,4,2,UINT16,100
237,#3,3,4,2,INT16,100
238,#3,3,4,2,UINT16,100
239,#3,3,4,2,UINT16,1
240,#4,total,4,2,UINT16,1
241,#4,total,4,2,UINT16,
242,#4,total,4,4,UINT32,100
244,#4,total,4,4,INT32,1
246,#4,total,4,4,INT32,1
248,#4,total,4,4,UINT32,1
250,#4,total,4,2,INT16,100
251,#4,total,4,2,,
252,#4,total,4,2,UINT16,100
253,#4,total,4,2,UINT16,100
254,#4,total,4,4,UINT16,100
256,#4,1,4,4,UINT32,100
258,#4,1,4,4,INT32,1
260,#4,1,4,2,UINT16,100
261,#4,1,4,2,INT16,100
262,#4,1,4,2,UINT16,100
263,#4,1,4,2,UINT16,1
264,#4,2,4,4,UINT32,100
266,#4,2,4,4,INT32,1
268,#4,2,4,2,UINT16,100
269,#4,2,4,2,INT16,100
270,#4,2,4,2,UINT16,100
271,#4,2,4,2,UINT16,1
272,#4,3,4,4,UINT32,100
274,#4,3,4,4,INT32,1
276,#4,3,4,2,UINT16,100
277,#4,3,4,2,INT16,100
278,#4,3,4,2,UINT16,100
279,#4,3,4,2,UINT16,1
280,#5,total,4,2,UINT16,1
281,#5,total,4,2,UINT16,
282,#5,total,4,4,UINT32,100
284,#5,total,4,4,INT32,1
286,#5,total,4,4,INT32,1
288,#5,total,4,4,UINT32,1
290,#5,total,4,2,INT16,100
291,#5,total,4,2,,
292,#5,total,4,2,UINT16,100
293,#5,total,4,2,UINT16,100
294,#5,total,4,4,UINT16,100
296,#5,1,4,4,UINT32,100
298,#5,1,4,4,INT32,1
300,#5,1,4,2,UINT16,100
301,#5,1,4,2,INT16,100
302,#5,1,4,2,UINT16,100
